Rank,Country,Region,Population,Percentage,Date
119,Singapore,Asia,5453600,0.07%,21-Jun
120,Norway,Europe,5415166,0.07%,21-Oct
121,Palestine,Asia,5227193,0.07%,21-Jul
122,CostaRica,Americas,5163038,0.07%,21-Jun
123,NewZealand,Oceania,5134950,0.06%,21-Dec
124,Ireland,Europe,5011500,0.06%,21-Apr
125,Kuwait,Asia,4670713,0.06%,20-Dec
126,Liberia,Africa,4661010,0.06%,21-Jul
127,Oman,Asia,4447408,0.06%,21-Oct
128,Panama,Americas,4278500,0.05%,20-Jul
129,Mauritania,Africa,4271197,0.05%,21-Jul
130,Croatia,Europe,4036355,0.05%,20-Dec
131,Georgia,Asia,3728573,0.05%,21-Jan
132,Eritrea,Africa,3601000,0.05%,21-Jul
133,Uruguay,Americas,3554915,0.04%,21-Jun
134,Mongolia,Asia,3414831,0.04%,21-Dec
135,BosniaandHerzegovina,Europe,3320954,0.04%,20-Jul
136,PuertoRico(United States),Americas,3285874,0.04%,20-Apr
137,Armenia,Asia,2963900,0.04%,21-Mar
138,Albania,Europe,2829741,0.04%,21-Jan
139,Qatar,Asia,2799202,0.04%,19-Jul
140,Lithuania,Europe,2777991,0.04%,21-Nov
141,Jamaica,Americas,2734093,0.03%,19-Dec
142,Moldova,Europe,2597100,0.03%,21-Jan
143,Namibia,Africa,2550226,0.03%,21-Jul
144,Gambia,Africa,2487000,0.03%,21-Jul
145,Botswana,Africa,2410338,0.03%,21-Jul
146,Gabon,Africa,2233272,0.03%,21-Jul
147,Lesotho,Africa,2159000,0.03%,21-Jul
148,Slovenia,Europe,2108977,0.03%,21-Apr
149,NorthMacedonia,Europe,2068808,0.03%,20-Dec
150,Latvia,Europe,1879700,0.02%,21-Oct
151,Kosovo,Europe,1782115,0.02%,19-Dec
152,Guinea-Bissau,Africa,1646077,0.02%,21-Jul
153,Equatorial Guinea,Africa,1505588,0.02%,21-Jul
154,Bahrain,Asia,1501635,0.02%,20-Mar
155,Trinidad and Tobago,Americas,1367558,0.02%,21-Jun
156,Estonia,Europe,1330068,0.02%,21-Jan
157,EastTimor,Asia,1317780,0.02%,21-Jul
158,Mauritius,Africa,1266334,0.02%,21-Jun
159,Eswatini,Africa,1172000,0.01%,21-Jul
160,Djibouti,Africa,976107,0.01%,19-Jul
161,Fiji,Oceania,898402,0.01%,21-Jul
162,Cyprus,Europe,888005,0.01%,19-Dec
163,Comoros,Africa,758316,0.01%,17-Dec
164,Bhutan,Asia,756129,0.01%,21-Jul
165,Guyana,Americas,743699,0.01%,19-Jul
166,Solomon Islands,Oceania,728041,0.01%,21-Jul
167,Macau(China),Asia,682300,0.01%,21-Sep
168,Luxembourg,Europe,634730,0.01%,21-Jan
169,Montenegro,Europe,621306,0.01%,20-Jul
170,WesternSahara,Africa,612000,0.01%,21-Jul
171,Suriname,Americas,598000,0.01%,19-Jul
172,CapeVerde,Africa,563198,0.01%,21-Jul
173,Malta,Europe,514564,0.01%,19-Dec
174,Transnistria,Europe,469000,0.01%,18-Jan
175,Belize,Americas,430191,0.01%,21-Jul
176,Brunei,Asia,429999,0.01%,21-Jul
177,Bahamas,Americas,393450,0.00%,21-Jul
178,Maldives,Asia,383135,0.00%,19-Dec
179,Iceland,Europe,374830,0.00%,21-Sep
180,NorthernCyprus,Asia,372486,0.00%,18-Dec
181,Vanuatu,Oceania,301295,0.00%,21-Jul
182,Barbados,Americas,288000,0.00%,21-Jul
183,FrenchPolynesia(France),Oceania,279890,0.00%,21-Jul
184,NewCaledonia(France),Oceania,273674,0.00%,21-Jul
185,Abkhazia,Asia,245424,0.00%,20-Jan
186,SãoToméandPríncipe,Africa,214610,0.00%,21-Jul
187,Samoa,Oceania,199853,0.00%,21-Jul
188,SaintLucia,Americas,178696,0.00%,18-Jul
189,Guam(United States),Oceania,178306,0.00%,21-Jul
190,Curaçao(Netherlands),Americas,153671,0.00%,21-Jan
191,RepublicofArtsakh,Asia,148900,0.00%,21-Jan
192,Kiribati,Oceania,120740,0.00%,21-Jul
193,Grenada,Americas,113000,0.00%,21-Jul
194,Aruba(Netherlands),Americas,111050,0.00%,20-Dec
195,SaintVincentandtheGrenadines,Americas,110696,0.00%,20-Jul
196,Jersey(British Crown Dependency),Europe,107800,0.00%,19-Dec
197,Micronesia,Oceania,105754,0.00%,21-Jul
198,U.S.VirginIslands(United States),Americas,104000,0.00%,21-Jul
199,Tonga,Oceania,99532,0.00%,21-Jul
200,AntiguaandBarbuda,Americas,99337,0.00%,21-Jul
201,Seychelles,Africa,99202,0.00%,21-Jun
202,IsleofMan(British Crown Dependency),Europe,85000,0.00%,21-Jul
203,Andorra,Europe,78015,0.00%,20-Dec
204,Dominica,Americas,72000,0.00%,21-Jul
205,CaymanIslands(United Kingdom),Americas,65786,0.00%,20-Sep
206,Bermuda(United Kingdom),Americas,64055,0.00%,21-Jul
207,Guernsey(British Crown Dependency),Europe,63124,0.00%,20-Jun
208,AmericanSamoa(United States),Oceania,56951,0.00%,21-Jul
209,NorthernMarianaIslands(United States),Oceania,56801,0.00%,21-Jul
210,Greenland(Denmark),Americas,56653,0.00%,21-Jul
211,MarshallIslands,Oceania,54516,0.00%,21-Jul
212,SaintKittsandNevis,Americas,54000,0.00%,21-Jul
213,SouthOssetia,Asia,53532,0.00%,15-Oct
214,FaroeIslands(Denmark),Europe,53613,0.00%,21-Nov
215,TurksandCaicosIslands(United Kingdom),Americas,42953,0.00%,19-Jul
216,SintMaarten(Netherlands),Americas,41486,0.00%,19-Jan
217,Liechtenstein,Europe,39151,0.00%,21-Jun
218,Monaco,Europe,38350,0.00%,20-Dec
219,SaintMartin(France),Americas,34065,0.00%,18-Jan
220,Gibraltar(United Kingdom),Europe,34000,0.00%,21-Jul
221,SanMarino,Europe,33668,0.00%,21-Oct
222,Åland(Finland),Europe,30317,0.00%,21-Oct
223,BritishVirginIslands(United Kingdom),Americas,30000,0.00%,21-Jul
224,Palau,Oceania,17957,0.00%,21-Jul
225,CookIslands(NewZealand),Oceania,15342,0.00%,21-Jul
226,Anguilla(United Kingdom),Americas,15000,0.00%,21-Jul
227,Nauru,Oceania,11832,0.00%,21-Jul
228,WallisandFutuna(France),Oceania,11369,0.00%,21-Jan
229,Tuvalu,Oceania,10679,0.00%,21-Jul
230,SaintBarthélemy(France),Americas,10124,0.00%,18-Jan
231,"SaintHelena,AscensionandTristandaCunha(United Kingdom)",Africa,6000,0%,21-Jul
232,SaintPierreandMiquelon(France),Americas,5985,0%,18-Jan
233,Montserrat(United Kingdom),Americas,5000,0%,21-Jul
234,FalklandIslands(United Kingdom),Americas,4000,0%,21-Jul
235,ChristmasIsland(Australia),Oceania,1966,0%,20-Jun
236,NorfolkIsland(Australia),Oceania,1734,0%,20-Jun
237,Niue(NewZealand),Oceania,1549,0%,21-Jul
238,Tokelau(NewZealand),Oceania,1501,0%,21-Jul
239,VaticanCity,Europe,825,0%,19-Feb
240,Cocos(Keeling)Islands(Australia),Oceania,573,0%,20-Jun
241,PitcairnIslands(United Kingdom),Oceania,40,0%,21-Jan
